SA4_CODE21,SA4_NAME21,year,net_migration,population,net_per_1000
312,Mackay - Isaac - Whitsunday,2023,836,189621,4.408794384588205
312,Mackay - Isaac - Whitsunday,2024,428,192302,2.2256658797100397
313,Moreton Bay - North,2022,6125,276554,22.147573349147002
313,Moreton Bay - North,2023,4444,284372,15.62741760792202
313,Moreton Bay - North,2024,5393,292532,18.4355899525522
314,Moreton Bay - South,2022,2098,226447,9.264861093324265
314,Moreton Bay - South,2023,800,232030,3.4478300219799163
314,Moreton Bay - South,2024,453,236402,1.9162274430842379
315,Queensland - Outback,2022,-964,81679,-11.802299244603876
315,Queensland - Outback,2023,-805,82142,-9.800102261936646
315,Queensland - Outback,2024,-911,82427,-11.052203768182755
316,Sunshine Coast,2022,7110,413240,17.20549801568096
316,Sunshine Coast,2023,4910,424307,11.571810033772715
316,Sunshine Coast,2024,5242,434602,12.061610392957235
317,Toowoomba,2022,1598,167199,9.557473429865013
317,Toowoomba,2023,1110,170781,6.499552057898712
317,Toowoomba,2024,583,173649,3.357347292526879
318,Townsville,2022,688,240261,2.8635525532649906
318,Townsville,2023,417,243772,1.7106148368147285
318,Townsville,2024,556,247234,2.248881626313533
319,Wide Bay,2022,6075,317474,19.135425263171157
319,Wide Bay,2023,5408,324169,16.682656268798063
319,Wide Bay,2024,5463,330788,16.515109375188942
401,Adelaide - Central and Hills,2022,-277,319458,-0.8670936398525002
401,Adelaide - Central and Hills,2023,-829,327714,-2.5296447512159994
401,Adelaide - Central and Hills,2024,-1586,333163,-4.760432581048915
402,Adelaide - North,2022,97,467355,0.2075510051245841
402,Adelaide - North,2023,-50,476257,-0.10498533354890321
402,Adelaide - North,2024,-135,484234,-0.27879083253137943
403,Adelaide - South,2022,-356,381354,-0.9335158409247051
403,Adelaide - South,2023,-149,387521,-0.3844952918680536
403,Adelaide - South,2024,-569,392131,-1.4510456964636818
404,Adelaide - West,2022,-186,250156,-0.7435360335150866
404,Adelaide - West,2023,-790,255546,-3.0914199400499323
404,Adelaide - West,2024,-1033,259635,-3.97866235291852
405,Barossa - Yorke - Mid North,2022,675,117742,5.73287357102818
405,Barossa - Yorke - Mid North,2023,972,118756,8.184849607598775
405,Barossa - Yorke - Mid North,2024,986,119770,8.232445520581114
406,South Australia - Outback,2022,-426,85540,-4.980126256722002
406,South Australia - Outback,2023,-360,85762,-4.197663300762575
406,South Australia - Outback,2024,-313,85946,-3.641821608917227
407,South Australia - South East,2022,704,199610,3.5268774109513554
407,South Australia - South East,2023,797,201416,3.9569845493903166
407,South Australia - South East,2024,1081,203132,5.321662761160231
501,Bunbury,2022,1979,198243,9.982698001947105
501,Bunbury,2023,1754,202126,8.677755459465878
501,Bunbury,2024,1956,206196,9.486120002327882
502,Mandurah,2022,2171,113980,19.04720126337954
502,Mandurah,2023,2699,118394,22.796763349494064
502,Mandurah,2024,2783,122716,22.678379347436355
503,Perth - Inner,2022,-126,191188,-0.6590371780655689
503,Perth - Inner,2023,-1023,200447,-5.103593468597684
503,Perth - Inner,2024,-1465,207192,-7.070736321865708
504,Perth - North East,2022,2289,292467,7.826524018094348
504,Perth - North East,2023,3240,303576,10.672780456953118
504,Perth - North East,2024,2663,313823,8.485675046124728
505,Perth - North West,2022,-345,604418,-0.5707970311936441
505,Perth - North West,2023,649,624115,1.039872459402514
505,Perth - North West,2024,94,640980,0.1466504415114356
506,Perth - South East,2022,764,557668,1.3699907471829116
506,Perth - South East,2023,345,579211,0.5956378590876209
506,Perth - South East,2024,-992,597028,-1.6615636117569026
507,Perth - South West,2022,4053,468299,8.654727001338888
